lead_id,nome_conta,tipo_parceiro,nicho,regiao,canal_publico,source_url,source_type,fit_score,segmento_abc,crm_stage,owner,status_outreach,gancho_personalizado,mensagem_seq1,utm_source,utm_medium,utm_campaign,proxima_acao
P011,galleanoofertas,admin_curador_ofertas,afiliados_multicanal,nacional,Linktree/WhatsApp/Telegram/Facebook,https://linktr.ee/galleano,public_seed_verified,91,A,Partner Lead,sdr,sequencia_1_pronta_para_envio,"Grupo de ofertas em WhatsApp, Telegram, Facebook e site Magalu.","Oi, galleanoofertas! Vi que vocês já curam ofertas (Grupo de ofertas em WhatsApp, Telegram, Facebook e site Magalu.). O BOTinho ajuda admins a replicar ofertas em múltiplos grupos com menos copia-e-cola, padrão de copy e acompanhamento de envio. Topa um piloto guiado de 7 dias para testar em poucos grupos primeiro?",parceiro-galleanoofertas,affiliate-outreach,launch-botinho-2026q2,enviar_seq1_manual_ou_crm
P012,Telegram Reduza,admin_curador_ofertas,telegram_ofertas,nacional,Telegram,https://t.me/s/grupo_promocoes,public_seed_verified,90,A,Partner Lead,sdr,sequencia_1_pronta_para_envio,"Canal público de promoções, cupons e ofertas com volume de posts e links.","Oi, Telegram Reduza! Vi que vocês já curam ofertas (Canal público de promoções, cupons e ofertas com volume de posts e links.). O BOTinho ajuda admins a replicar ofertas em múltiplos grupos com menos copia-e-cola, padrão de copy e acompanhamento de envio. Topa um piloto guiado de 7 dias para testar em poucos grupos primeiro?",parceiro-telegram-reduza,affiliate-outreach,launch-botinho-2026q2,enviar_seq1_manual_ou_crm
P013,Prospect 013 — Curador ofertas de supermercado e atacarejo em São Paulo,prospect_icp_a_enriquecer,supermercado,São Paulo,busca_publica/linktree/instagram/telegram,https://www.google.com/search?q=ofertas+de+supermercado+e+atacarejo+grupo+WhatsApp+Telegram+ofertas+S%C3%A3o+Paulo+contato,discovery_query_to_enrich,91,A,Partner Lead,sdr,pendente_enriquecimento_contato,ICP público a enriquecer: curador/admin de ofertas de supermercado e atacarejo com possível operação regional em São Paulo.,"Oi, Prospect 013 — Curador ofertas de supermercado e atacarejo em São Paulo! Vi que vocês já curam ofertas (ICP público a enriquecer: curador/admin de ofertas de supermercado e atacarejo com possível operação regional em São Paulo.). O BOTinho ajuda admins a replicar ofertas em múltiplos grupos com menos copia-e-cola, padrão de copy e acompanhamento de envio. Topa um piloto guiado de 7 dias para testar em poucos grupos primeiro?",parceiro-prospect-013,affiliate-outreach,launch-botinho-2026q2,enriquecer_contato_e_enviar_seq1
P014,Prospect 014 — Curador cupons de farmácia e beleza em São Paulo,prospect_icp_a_enriquecer,farmacia,São Paulo,busca_publica/linktree/instagram/telegram,https://www.google.com/search?q=cupons+de+farm%C3%A1cia+e+beleza+grupo+WhatsApp+Telegram+ofertas+S%C3%A3o+Paulo+contato,discovery_query_to_enrich,86,A,Partner Lead,sdr,pendente_enriquecimento_contato,ICP público a enriquecer: curador/admin de cupons de farmácia e beleza com possível operação regional em São Paulo.,"Oi, Prospect 014 — Curador cupons de farmácia e beleza em São Paulo! Vi que vocês já curam ofertas (ICP público a enriquecer: curador/admin de cupons de farmácia e beleza com possível operação regional em São Paulo.). O BOTinho ajuda admins a replicar ofertas em múltiplos grupos com menos copia-e-cola, padrão de copy e acompanhamento de envio. Topa um piloto guiado de 7 dias para testar em poucos grupos primeiro?",parceiro-prospect-014,affiliate-outreach,launch-botinho-2026q2,enriquecer_contato_e_enviar_seq1
P015,Prospect 015 — Curador promoções de eletrônicos em São Paulo,prospect_icp_a_enriquecer,eletronicos,São Paulo,busca_publica/linktree/instagram/telegram,https://www.google.com/search?q=promo%C3%A7%C3%B5es+de+eletr%C3%B4nicos+grupo+WhatsApp+Telegram+ofertas+S%C3%A3o+Paulo+contato,discovery_query_to_enrich,79,B,Partner Lead,sdr,pendente_enriquecimento_contato,ICP público a enriquecer: curador/admin de promoções de eletrônicos com possível operação regional em São Paulo.,"Oi, Prospect 015 — Curador promoções de eletrônicos em São Paulo! Vi que vocês já curam ofertas (ICP público a enriquecer: curador/admin de promoções de eletrônicos com possível operação regional em São Paulo.). O BOTinho ajuda admins a replicar ofertas em múltiplos grupos com menos copia-e-cola, padrão de copy e acompanhamento de envio. Topa um piloto guiado de 7 dias para testar em poucos grupos primeiro?",parceiro-prospect-015,affiliate-outreach,launch-botinho-2026q2,enriquecer_contato_e_enviar_seq1
P016,Prospect 016 — Curador achadinhos de moda em São Paulo,prospect_icp_a_enriquecer,moda,São Paulo,busca_publica/linktree/instagram/telegram,https://www.google.com/search?q=achadinhos+de+moda+grupo+WhatsApp+Telegram+ofertas+S%C3%A3o+Paulo+contato,discovery_query_to_enrich,91,A,Partner Lead,sdr,pendente_enriquecimento_contato,ICP público a enriquecer: curador/admin de achadinhos de moda com possível operação regional em São Paulo.,"Oi, Prospect 016 — Curador achadinhos de moda em São Paulo! Vi que vocês já curam ofertas (ICP público a enriquecer: curador/admin de achadinhos de moda com possível operação regional em São Paulo.). O BOTinho ajuda admins a replicar ofertas em múltiplos grupos com menos copia-e-cola, padrão de copy e acompanhamento de envio. Topa um piloto guiado de 7 dias para testar em poucos grupos primeiro?",parceiro-prospect-016,affiliate-outreach,launch-botinho-2026q2,enriquecer_contato_e_enviar_seq1
P017,Prospect 017 — Curador cosméticos e beleza em São Paulo,prospect_icp_a_enriquecer,beleza,São Paulo,busca_publica/linktree/instagram/telegram,https://www.google.com/search?q=cosm%C3%A9ticos+e+beleza+grupo+WhatsApp+Telegram+ofertas+S%C3%A3o+Paulo+contato,discovery_query_to_enrich,83,B,Partner Lead,sdr,pendente_enriquecimento_contato,ICP público a enriquecer: curador/admin de cosméticos e beleza com possível operação regional em São Paulo.,"Oi, Prospect 017 — Curador cosméticos e beleza em São Paulo! Vi que vocês já curam ofertas (ICP público a enriquecer: curador/admin de cosméticos e beleza com possível operação regional em São Paulo.). O BOTinho ajuda admins a replicar ofertas em múltiplos grupos com menos copia-e-cola, padrão de copy e acompanhamento de envio. Topa um piloto guiado de 7 dias para testar em poucos grupos primeiro?",parceiro-prospect-017,affiliate-outreach,launch-botinho-2026q2,enriquecer_contato_e_enviar_seq1
P018,"Prospect 018 — Curador casa, cozinha e utilidades em São Paulo",prospect_icp_a_enriquecer,casa,São Paulo,busca_publica/linktree/instagram/telegram,https://www.google.com/search?q=casa%2C+cozinha+e+utilidades+grupo+WhatsApp+Telegram+ofertas+S%C3%A3o+Paulo+contato,discovery_query_to_enrich,76,B,Partner Lead,sdr,pendente_enriquecimento_contato,"ICP público a enriquecer: curador/admin de casa, cozinha e utilidades com possível operação regional em São Paulo.","Oi, Prospect 018 — Curador casa, cozinha e utilidades em São Paulo! Vi que vocês já curam ofertas (ICP público a enriquecer: curador/admin de casa, cozinha e utilidades com possível operação regional em São Paulo.). O BOTinho ajuda admins a replicar ofertas em múltiplos grupos com menos copia-e-cola, padrão de copy e acompanhamento de envio. Topa um piloto guiado de 7 dias para testar em poucos grupos primeiro?",parceiro-prospect-018,affiliate-outreach,launch-botinho-2026q2,enriquecer_contato_e_enviar_seq1
P019,Prospect 019 — Curador ofertas pet em São Paulo,prospect_icp_a_enriquecer,pet,São Paulo,busca_publica/linktree/instagram/telegram,https://www.google.com/search?q=ofertas+pet+grupo+WhatsApp+Telegram+ofertas+S%C3%A3o+Paulo+contato,discovery_query_to_enrich,91,A,Partner Lead,sdr,pendente_enriquecimento_contato,ICP público a enriquecer: curador/admin de ofertas pet com possível operação regional em São Paulo.,"Oi, Prospect 019 — Curador ofertas pet em São Paulo! Vi que vocês já curam ofertas (ICP público a enriquecer: curador/admin de ofertas pet com possível operação regional em São Paulo.). O BOTinho ajuda admins a replicar ofertas em múltiplos grupos com menos copia-e-cola, padrão de copy e acompanhamento de envio. Topa um piloto guiado de 7 dias para testar em poucos grupos primeiro?",parceiro-prospect-019,affiliate-outreach,launch-botinho-2026q2,enriquecer_contato_e_enviar_seq1
P020,Prospect 020 — Curador lançamentos e infoprodutos em São Paulo,prospect_icp_a_enriquecer,infoprodutos,São Paulo,busca_publica/linktree/instagram/telegram,https://www.google.com/search?q=lan%C3%A7amentos+e+infoprodutos+grupo+WhatsApp+Telegram+ofertas+S%C3%A3o+Paulo+contato,discovery_query_to_enrich,84,B,Partner Lead,sdr,pendente_enriquecimento_contato,ICP público a enriquecer: curador/admin de lançamentos e infoprodutos com possível operação regional em São Paulo.,"Oi, Prospect 020 — Curador lançamentos e infoprodutos em São Paulo! Vi que vocês já curam ofertas (ICP público a enriquecer: curador/admin de lançamentos e infoprodutos com possível operação regional em São Paulo.). O BOTinho ajuda admins a replicar ofertas em múltiplos grupos com menos copia-e-cola, padrão de copy e acompanhamento de envio. Topa um piloto guiado de 7 dias para testar em poucos grupos primeiro?",parceiro-prospect-020,affiliate-outreach,launch-botinho-2026q2,enriquecer_contato_e_enviar_seq1
P021,Prospect 021 — Curador ofertas de supermercado e atacarejo em Rio de Janeiro,prospect_icp_a_enriquecer,supermercado,Rio de Janeiro,busca_publica/linktree/instagram/telegram,https://www.google.com/search?q=ofertas+de+supermercado+e+atacarejo+grupo+WhatsApp+Telegram+ofertas+Rio+de+Janeiro+contato,discovery_query_to_enrich,81,B,Partner Lead,sdr,pendente_enriquecimento_contato,ICP público a enriquecer: curador/admin de ofertas de supermercado e atacarejo com possível operação regional em Rio de Janeiro.,"Oi, Prospect 021 — Curador ofertas de supermercado e atacarejo em Rio de Janeiro! Vi que vocês já curam ofertas (ICP público a enriquecer: curador/admin de ofertas de supermercado e atacarejo com possível operação regional em Rio de Janeiro.). O BOTinho ajuda admins a replicar ofertas em múltiplos grupos com menos copia-e-cola, padrão de copy e acompanhamento de envio. Topa um piloto guiado de 7 dias para testar em poucos grupos primeiro?",parceiro-prospect-021,affiliate-outreach,launch-botinho-2026q2,enriquecer_contato_e_enviar_seq1
P022,Prospect 022 — Curador cupons de farmácia e beleza em Rio de Janeiro,prospect_icp_a_enriquecer,farmacia,Rio de Janeiro,busca_publica/linktree/instagram/telegram,https://www.google.com/search?q=cupons+de+farm%C3%A1cia+e+beleza+grupo+WhatsApp+Telegram+ofertas+Rio+de+Janeiro+contato,discovery_query_to_enrich,91,A,Partner Lead,sdr,pendente_enriquecimento_contato,ICP público a enriquecer: curador/admin de cupons de farmácia e beleza com possível operação regional em Rio de Janeiro.,"Oi, Prospect 022 — Curador cupons de farmácia e beleza em Rio de Janeiro! Vi que vocês já curam ofertas (ICP público a enriquecer: curador/admin de cupons de farmácia e beleza com possível operação regional em Rio de Janeiro.). O BOTinho ajuda admins a replicar ofertas em múltiplos grupos com menos copia-e-cola, padrão de copy e acompanhamento de envio. Topa um piloto guiado de 7 dias para testar em poucos grupos primeiro?",parceiro-prospect-022,affiliate-outreach,launch-botinho-2026q2,enriquecer_contato_e_enviar_seq1
P023,Prospect 023 — Curador promoções de eletrônicos em Rio de Janeiro,prospect_icp_a_enriquecer,eletronicos,Rio de Janeiro,busca_publica/linktree/instagram/telegram,https://www.google.com/search?q=promo%C3%A7%C3%B5es+de+eletr%C3%B4nicos+grupo+WhatsApp+Telegram+ofertas+Rio+de+Janeiro+contato,discovery_query_to_enrich,89,A,Partner Lead,sdr,pendente_enriquecimento_contato,ICP público a enriquecer: curador/admin de promoções de eletrônicos com possível operação regional em Rio de Janeiro.,"Oi, Prospect 023 — Curador promoções de eletrônicos em Rio de Janeiro! Vi que vocês já curam ofertas (ICP público a enriquecer: curador/admin de promoções de eletrônicos com possível operação regional em Rio de Janeiro.). O BOTinho ajuda admins a replicar ofertas em múltiplos grupos com menos copia-e-cola, padrão de copy e acompanhamento de envio. Topa um piloto guiado de 7 dias para testar em poucos grupos primeiro?",parceiro-prospect-023,affiliate-outreach,launch-botinho-2026q2,enriquecer_contato_e_enviar_seq1
P024,Prospect 024 — Curador achadinhos de moda em Rio de Janeiro,prospect_icp_a_enriquecer,moda,Rio de Janeiro,busca_publica/linktree/instagram/telegram,https://www.google.com/search?q=achadinhos+de+moda+grupo+WhatsApp+Telegram+ofertas+Rio+de+Janeiro+contato,discovery_query_to_enrich,82,B,Partner Lead,sdr,pendente_enriquecimento_contato,ICP público a enriquecer: curador/admin de achadinhos de moda com possível operação regional em Rio de Janeiro.,"Oi, Prospect 024 — Curador achadinhos de moda em Rio de Janeiro! Vi que vocês já curam ofertas (ICP público a enriquecer: curador/admin de achadinhos de moda com possível operação regional em Rio de Janeiro.). O BOTinho ajuda admins a replicar ofertas em múltiplos grupos com menos copia-e-cola, padrão de copy e acompanhamento de envio. Topa um piloto guiado de 7 dias para testar em poucos grupos primeiro?",parceiro-prospect-024,affiliate-outreach,launch-botinho-2026q2,enriquecer_contato_e_enviar_seq1
P025,Prospect 025 — Curador cosméticos e beleza em Rio de Janeiro,prospect_icp_a_enriquecer,beleza,Rio de Janeiro,busca_publica/linktree/instagram/telegram,https://www.google.com/search?q=cosm%C3%A9ticos+e+beleza+grupo+WhatsApp+Telegram+ofertas+Rio+de+Janeiro+contato,discovery_query_to_enrich,71,B,Partner Lead,sdr,pendente_enriquecimento_contato,ICP público a enriquecer: curador/admin de cosméticos e beleza com possível operação regional em Rio de Janeiro.,"Oi, Prospect 025 — Curador cosméticos e beleza em Rio de Janeiro! Vi que vocês já curam ofertas (ICP público a enriquecer: curador/admin de cosméticos e beleza com possível operação regional em Rio de Janeiro.). O BOTinho ajuda admins a replicar ofertas em múltiplos grupos com menos copia-e-cola, padrão de copy e acompanhamento de envio. Topa um piloto guiado de 7 dias para testar em poucos grupos primeiro?",parceiro-prospect-025,affiliate-outreach,launch-botinho-2026q2,enriquecer_contato_e_enviar_seq1
P026,"Prospect 026 — Curador casa, cozinha e utilidades em Rio de Janeiro",prospect_icp_a_enriquecer,casa,Rio de Janeiro,busca_publica/linktree/instagram/telegram,https://www.google.com/search?q=casa%2C+cozinha+e+utilidades+grupo+WhatsApp+Telegram+ofertas+Rio+de+Janeiro+contato,discovery_query_to_enrich,86,A,Partner Lead,sdr,pendente_enriquecimento_contato,"ICP público a enriquecer: curador/admin de casa, cozinha e utilidades com possível operação regional em Rio de Janeiro.","Oi, Prospect 026 — Curador casa, cozinha e utilidades em Rio de Janeiro! Vi que vocês já curam ofertas (ICP público a enriquecer: curador/admin de casa, cozinha e utilidades com possível operação regional em Rio de Janeiro.). O BOTinho ajuda admins a replicar ofertas em múltiplos grupos com menos copia-e-cola, padrão de copy e acompanhamento de envio. Topa um piloto guiado de 7 dias para testar em poucos grupos primeiro?",parceiro-prospect-026,affiliate-outreach,launch-botinho-2026q2,enriquecer_contato_e_enviar_seq1
P027,Prospect 027 — Curador ofertas pet em Rio de Janeiro,prospect_icp_a_enriquecer,pet,Rio de Janeiro,busca_publica/linktree/instagram/telegram,https://www.google.com/search?q=ofertas+pet+grupo+WhatsApp+Telegram+ofertas+Rio+de+Janeiro+contato,discovery_query_to_enrich,79,B,Partner Lead,sdr,pendente_enriquecimento_contato,ICP público a enriquecer: curador/admin de ofertas pet com possível operação regional em Rio de Janeiro.,"Oi, Prospect 027 — Curador ofertas pet em Rio de Janeiro! Vi que vocês já curam ofertas (ICP público a enriquecer: curador/admin de ofertas pet com possível operação regional em Rio de Janeiro.). O BOTinho ajuda admins a replicar ofertas em múltiplos grupos com menos copia-e-cola, padrão de copy e acompanhamento de envio. Topa um piloto guiado de 7 dias para testar em poucos grupos primeiro?",parceiro-prospect-027,affiliate-outreach,launch-botinho-2026q2,enriquecer_contato_e_enviar_seq1
P028,Prospect 028 — Curador lançamentos e infoprodutos em Rio de Janeiro,prospect_icp_a_enriquecer,infoprodutos,Rio de Janeiro,busca_publica/linktree/instagram/telegram,https://www.google.com/search?q=lan%C3%A7amentos+e+infoprodutos+grupo+WhatsApp+Telegram+ofertas+Rio+de+Janeiro+contato,discovery_query_to_enrich,72,B,Partner Lead,sdr,pendente_enriquecimento_contato,ICP público a enriquecer: curador/admin de lançamentos e infoprodutos com possível operação regional em Rio de Janeiro.,"Oi, Prospect 028 — Curador lançamentos e infoprodutos em Rio de Janeiro! Vi que vocês já curam ofertas (ICP público a enriquecer: curador/admin de lançamentos e infoprodutos com possível operação regional em Rio de Janeiro.). O BOTinho ajuda admins a replicar ofertas em múltiplos grupos com menos copia-e-cola, padrão de copy e acompanhamento de envio. Topa um piloto guiado de 7 dias para testar em poucos grupos primeiro?",parceiro-prospect-028,affiliate-outreach,launch-botinho-2026q2,enriquecer_contato_e_enviar_seq1
P029,Prospect 029 — Curador ofertas de supermercado e atacarejo em Belo Horizonte,prospect_icp_a_enriquecer,supermercado,Belo Horizonte,busca_publica/linktree/instagram/telegram,https://www.google.com/search?q=ofertas+de+supermercado+e+atacarejo+grupo+WhatsApp+Telegram+ofertas+Belo+Horizonte+contato,discovery_query_to_enrich,91,A,Partner Lead,sdr,pendente_enriquecimento_contato,ICP público a enriquecer: curador/admin de ofertas de supermercado e atacarejo com possível operação regional em Belo Horizonte.,"Oi, Prospect 029 — Curador ofertas de supermercado e atacarejo em Belo Horizonte! Vi que vocês já curam ofertas (ICP público a enriquecer: curador/admin de ofertas de supermercado e atacarejo com possível operação regional em Belo Horizonte.). O BOTinho ajuda admins a replicar ofertas em múltiplos grupos com menos copia-e-cola, padrão de copy e acompanhamento de envio. Topa um piloto guiado de 7 dias para testar em poucos grupos primeiro?",parceiro-prospect-029,affiliate-outreach,launch-botinho-2026q2,enriquecer_contato_e_enviar_seq1
P030,Prospect 030 — Curador cupons de farmácia e beleza em Belo Horizonte,prospect_icp_a_enriquecer,farmacia,Belo Horizonte,busca_publica/linktree/instagram/telegram,https://www.google.com/search?q=cupons+de+farm%C3%A1cia+e+beleza+grupo+WhatsApp+Telegram+ofertas+Belo+Horizonte+contato,discovery_query_to_enrich,84,B,Partner Lead,sdr,pendente_enriquecimento_contato,ICP público a enriquecer: curador/admin de cupons de farmácia e beleza com possível operação regional em Belo Horizonte.,"Oi, Prospect 030 — Curador cupons de farmácia e beleza em Belo Horizonte! Vi que vocês já curam ofertas (ICP público a enriquecer: curador/admin de cupons de farmácia e beleza com possível operação regional em Belo Horizonte.). O BOTinho ajuda admins a replicar ofertas em múltiplos grupos com menos copia-e-cola, padrão de copy e acompanhamento de envio. Topa um piloto guiado de 7 dias para testar em poucos grupos primeiro?",parceiro-prospect-030,affiliate-outreach,launch-botinho-2026q2,enriquecer_contato_e_enviar_seq1
P031,Prospect 031 — Curador promoções de eletrônicos em Belo Horizonte,prospect_icp_a_enriquecer,eletronicos,Belo Horizonte,busca_publica/linktree/instagram/telegram,https://www.google.com/search?q=promo%C3%A7%C3%B5es+de+eletr%C3%B4nicos+grupo+WhatsApp+Telegram+ofertas+Belo+Horizonte+contato,discovery_query_to_enrich,77,B,Partner Lead,sdr,pendente_enriquecimento_contato,ICP público a enriquecer: curador/admin de promoções de eletrônicos com possível operação regional em Belo Horizonte.,"Oi, Prospect 031 — Curador promoções de eletrônicos em Belo Horizonte! Vi que vocês já curam ofertas (ICP público a enriquecer: curador/admin de promoções de eletrônicos com possível operação regional em Belo Horizonte.). O BOTinho ajuda admins a replicar ofertas em múltiplos grupos com menos copia-e-cola, padrão de copy e acompanhamento de envio. Topa um piloto guiado de 7 dias para testar em poucos grupos primeiro?",parceiro-prospect-031,affiliate-outreach,launch-botinho-2026q2,enriquecer_contato_e_enviar_seq1
P032,Prospect 032 — Curador achadinhos de moda em Belo Horizonte,prospect_icp_a_enriquecer,moda,Belo Horizonte,busca_publica/linktree/instagram/telegram,https://www.google.com/search?q=achadinhos+de+moda+grupo+WhatsApp+Telegram+ofertas+Belo+Horizonte+contato,discovery_query_to_enrich,91,A,Partner Lead,sdr,pendente_enriquecimento_contato,ICP público a enriquecer: curador/admin de achadinhos de moda com possível operação regional em Belo Horizonte.,"Oi, Prospect 032 — Curador achadinhos de moda em Belo Horizonte! Vi que vocês já curam ofertas (ICP público a enriquecer: curador/admin de achadinhos de moda com possível operação regional em Belo Horizonte.). O BOTinho ajuda admins a replicar ofertas em múltiplos grupos com menos copia-e-cola, padrão de copy e acompanhamento de envio. Topa um piloto guiado de 7 dias para testar em poucos grupos primeiro?",parceiro-prospect-032,affiliate-outreach,launch-botinho-2026q2,enriquecer_contato_e_enviar_seq1
