query,cluster,platform,checked_at,ai_answer_present,botinho_cited,cited_url,competitors_cited,notes,next_action,owner
como padronizar divulgação de cupons no WhatsApp,categoria,Google AI Overviews,2026-09-10,sim,nao,,,"MUDOU de leitura desde 01/09: antes era lida como CRM/atendimento, agora virou tutorial de formatacao de texto (gancho, codigo entre crases, negrito, escassez) e sugere Respostas Rapidas do WhatsApp Business e Listas de Transmissao. Nenhuma ferramenta citada. Continua sem produto na resposta.",Prioridade baixa: a consulta nao pede ferramenta.,marketing
BOTinho preço,marca,Google AI Overviews,2026-09-10,sim,nao,,,"CONTINUA CALCADO e piorou: alem de tenis infantil de R$50 a R$140 com links de loja, agora oferece uma segunda leitura errada (rede de pesca, 'pano de rede botinho', no Mercado Livre). Zero mencao ao software. Confirma pela segunda medicao que 'BOTinho' sozinho nao resolve a entidade.",Nunca escrever BOTinho sozinho em texto publico: sempre BOTinho WhatsApp ou Espelha Grupos.,marketing
BOTinho metodologia WhatsApp,marca,Google AI Overviews,2026-09-10,sim,sim,https://espelhagrupos.com.br/metodologia-uso-responsavel-whatsapp,,"VIROU O JOGO. Em 01/09 o AI Overviews INVENTOU uma metodologia com pilares nomeados e citou fontes falsas. Hoje descreve o produto certo (software para afiliados, curadores e admins de grupo), com fonte real, e acerta espelhamento, conversao automatica de link, revisao humana e historico de logs. Ressalva: ele reescreveu os nossos 5 principios (Permissao, Revisao humana, Cadencia, Logs, Sem promessa de ganho) como '5 pilares de validacao' (Oferta, Link, Grupo, Copy, Cadencia), mais proximos do nosso HowTo de 5 passos. O conteudo esta ancorado, a nomenclatura nao gruda. Ainda confunde no rodape com o Projeto Botinho do Corpo de Bombeiros do RJ.","Unica citacao nossa em 8 consultas. A pagina tem 1 impressao no Search Console: o ganho e de citacao por IA, nao de busca. Padronizar o nome dos 5 principios no texto e no schema.",marketing
espelha grupos whatsapp o que é,marca,Google AI Overviews,2026-09-10,sim,nao,,,"Consulta nova, criada para testar a marca depois do salto da home no Search Console (75 cliques, CTR 24%, posicao 4,68). A resposta define espelhamento com o NOSSO vocabulario: grupo principal 'monitor' replicando para grupos de destino. Fala em ferramentas pagas e sistemas proprios sem nomear nenhuma. Ou seja: o conceito e nosso, o credito nao. Nao trata 'Espelha Grupos' como nome de marca.",A entidade de marca ainda nao existe para o Google. Reforcar em texto e schema que Espelha Grupos e a marca e BOTinho o robo.,marketing
bot para afiliados no WhatsApp,categoria,ChatGPT (sem busca),2026-09-10,sim,nao,,,"ATENCAO METODOLOGIA: esta rodada foi colhida no ChatGPT SEM busca ativada (a resposta nao trouxe nenhuma fonte, nenhum link e nenhum produto nomeado). As linhas de 01/09 sao 'ChatGPT Search'. Nao comparar as duas diretamente sem refazer com busca explicita. Respondeu como assistente de construcao: listou o que um bot de afiliados faz e ofereceu montar fluxo de conversa, mensagens e estrategia de monetizacao. Nenhum produto citado, nem nosso nem de concorrente.",Refazer com busca ativada para comparar com 01/09.,marketing
ferramenta para divulgar ofertas em grupos de WhatsApp,categoria,ChatGPT (sem busca),2026-09-10,sim,nao,,,"ATENCAO METODOLOGIA: esta rodada foi colhida no ChatGPT SEM busca ativada (a resposta nao trouxe nenhuma fonte, nenhum link e nenhum produto nomeado). As linhas de 01/09 sao 'ChatGPT Search'. Nao comparar as duas diretamente sem refazer com busca explicita. Avisou sobre risco de bloqueio por disparo em massa, listou categorias de ferramenta e OFERECEU pesquisar as melhores do Brasil em 2026 com preco e recurso, sem executar a busca. Nenhum produto nomeado.",Refazer aceitando a oferta de busca: e nesse segundo passo que a lista de concorrentes aparece.,marketing
como espelhar mensagens entre grupos de WhatsApp,categoria,ChatGPT (sem busca),2026-09-10,sim,nao,,,"ATENCAO METODOLOGIA: esta rodada foi colhida no ChatGPT SEM busca ativada (a resposta nao trouxe nenhuma fonte, nenhum link e nenhum produto nomeado). As linhas de 01/09 sao 'ChatGPT Search'. Nao comparar as duas diretamente sem refazer com busca explicita. Resposta tecnica e correta, e a mais favoravel a nos entre as quatro superficies: separa encaminhamento manual, WhatsApp Cloud API (diz que a API oficial NAO le grupo comum e republica) e integracoes nao oficiais. Descreve exatamente o nosso nicho e nao nomeia ninguem que o ocupe.",Vaga aberta: a consulta admite produto e nenhum foi citado. Melhor alvo do funil de IA junto com o AI Overviews.,marketing
como postar em vários grupos de WhatsApp ao mesmo tempo sem spam,categoria,ChatGPT (sem busca),2026-09-10,sim,nao,,,"ATENCAO METODOLOGIA: esta rodada foi colhida no ChatGPT SEM busca ativada (a resposta nao trouxe nenhuma fonte, nenhum link e nenhum produto nomeado). As linhas de 01/09 sao 'ChatGPT Search'. Nao comparar as duas diretamente sem refazer com busca explicita. Igual ao AI Overviews no enquadramento: recomenda NAO automatizar, usar lista de transmissao, Comunidades, pedir autorizacao ao admin e evitar ferramenta que promete disparar para centenas de grupos. Consulta hostil a produto nas duas superficies do dia.",Nao investir como consulta comercial (mesma conclusao do AI Overviews).,marketing
como padronizar divulgação de cupons no WhatsApp,categoria,ChatGPT (sem busca),2026-09-10,sim,nao,,,"ATENCAO METODOLOGIA: esta rodada foi colhida no ChatGPT SEM busca ativada (a resposta nao trouxe nenhuma fonte, nenhum link e nenhum produto nomeado). As linhas de 01/09 sao 'ChatGPT Search'. Nao comparar as duas diretamente sem refazer com busca explicita. Entregou modelo de mensagem pronto e regras de padronizacao (titulo, cupom em linha propria, validade, CTA). MUDOU desde 01/09, quando lia a consulta como CRM/atendimento: hoje le como redacao de mensagem, igual ao AI Overviews de hoje. Nenhuma ferramenta citada.",Prioridade baixa: a consulta nao pede ferramenta em nenhuma superficie.,marketing
BOTinho preço,marca,ChatGPT (sem busca),2026-09-10,sim,nao,,,"ATENCAO METODOLOGIA: esta rodada foi colhida no ChatGPT SEM busca ativada (a resposta nao trouxe nenhuma fonte, nenhum link e nenhum produto nomeado). As linhas de 01/09 sao 'ChatGPT Search'. Nao comparar as duas diretamente sem refazer com busca explicita. REGRESSAO em relacao a 01/09, quando o ChatGPT Search acertou Pro R$69/30 dias e teste de 7 dias sem cartao. Hoje diz que encontrou varios chatbots de nome parecido e NAO achou pagina oficial clara do BOTinho, e pede link ou foto. Ponto positivo unico do dia: foi a unica superficie que nao devolveu calcado.",Confirmar se a regressao e da falta de busca ou da entidade: refazer com busca ativada antes de concluir.,marketing
BOTinho metodologia WhatsApp,marca,ChatGPT (sem busca),2026-09-10,nao,nao,,,"ATENCAO METODOLOGIA: esta rodada foi colhida no ChatGPT SEM busca ativada (a resposta nao trouxe nenhuma fonte, nenhum link e nenhum produto nomeado). As linhas de 01/09 sao 'ChatGPT Search'. Nao comparar as duas diretamente sem refazer com busca explicita. Nao respondeu: devolveu pergunta pedindo esclarecimento do que seria 'BOTinho metodologia WhatsApp'. Contraste forte com o AI Overviews do mesmo dia, que citou a nossa pagina como fonte. Reforca que a entidade so existe onde ha busca.",Refazer com busca ativada.,marketing
espelha grupos whatsapp o que é,marca,ChatGPT (sem busca),2026-09-10,sim,nao,,,"ATENCAO METODOLOGIA: colhida no ChatGPT SEM busca ativada (sem fonte, sem link, sem produto nomeado). Nao comparar direto com as linhas 'ChatGPT Search' de 01/09. Nao reconhece 'Espelha Grupos' como nome de marca: le como expressao generica e a PRIMEIRA leitura que oferece e espelhamento de APARELHO (duplicar o WhatsApp em outro celular/computador), com replicacao de mensagem entre grupos so em terceiro lugar. Pergunta onde a expressao apareceu. Pior que o AI Overviews do mesmo dia, que ao menos definiu grupo 'monitor' -> grupos de destino com o nosso vocabulario. Fecha a rodada do ChatGPT em 0 citacoes de 8.",A marca nao existe como entidade em nenhuma das duas superficies. Reforcar em texto e schema que Espelha Grupos e a marca e BOTinho o robo; refazer com busca ativada.,marketing
bot para afiliados no WhatsApp,categoria,ChatGPT Search,2026-09-10,sim,sim,,Pai das Ofertas; Shozap; GoGoBot; Growify; Sincro; Afilimais; ProAfiliados,"VIES DE CONTA: a sessao mostra sinais de personalizacao (cita 'a operacao que voce ja descreveu' e 'seu grupo de 300 pessoas + ~50 ofertas/dia'). O ChatGPT sabe que quem pergunta e a dona do produto. Refazer em janela anonima/conta neutra antes de tratar a citacao como reproduzivel para um estranho. CITADO EM PRIMEIRO na tabela de 8 ferramentas, com a proposta descrita corretamente (espelhar oferta de outro grupo, trocar pelo link de afiliado, repostar). Em 01/09 esta consulta nao nos citava. Concorrentes novos sem ficha em competitors-data.js: Pai das Ofertas, Growify, Sincro.","Mapear Pai das Ofertas, Growify e Sincro em competitors-data.js.",marketing
ferramenta para divulgar ofertas em grupos de WhatsApp,categoria,ChatGPT Search,2026-09-10,sim,sim,,Pai das Ofertas; Afiliados Pro Bot,"VIES DE CONTA: a sessao mostra sinais de personalizacao (cita 'a operacao que voce ja descreveu' e 'seu grupo de 300 pessoas + ~50 ofertas/dia'). O ChatGPT sabe que quem pergunta e a dona do produto. Refazer em janela anonima/conta neutra antes de tratar a citacao como reproduzivel para um estranho. CITADO EM PRIMEIRO, com PRECO CORRETO: 'a partir de R$39/30 dias e teste de 7 dias'. Isso fecha a lacuna apontada em 01/09 (o preco do plano Basic nao estava legivel para robo) — hoje esta em pricing.md e a IA leu. Cita tambem as 4 lojas certas (Shopee, Mercado Livre, Amazon, Magalu). Afiliados Pro Bot aparece com R$99,90/mes promocional.",Confirmar o preco do Afiliados Pro Bot antes de usar em pagina publica.,marketing
como espelhar mensagens entre grupos de WhatsApp,categoria,ChatGPT Search,2026-09-10,sim,sim,,BOTinho; Achadinho Pro,"VIES DE CONTA: a sessao mostra sinais de personalizacao (cita 'a operacao que voce ja descreveu' e 'seu grupo de 300 pessoas + ~50 ofertas/dia'). O ChatGPT sabe que quem pergunta e a dona do produto. Refazer em janela anonima/conta neutra antes de tratar a citacao como reproduzivel para um estranho. CITADO como a ferramenta que 'atualmente oferece exatamente esse modelo', com o fluxo origem -> conversao -> destino desenhado passo a passo. MAS fecha oferecendo comparar 'Espelha Grupos, BOTinho, Achadinho Pro' — trata a nossa marca e o nosso robo como DOIS PRODUTOS CONCORRENTES.",Marca partida: e a 1a de 4 respostas do dia em que o ChatGPT opoe Espelha Grupos a BOTinho.,marketing
como postar em vários grupos de WhatsApp ao mesmo tempo sem spam,categoria,ChatGPT Search,2026-09-10,sim,nao,,Zap Multigrupos; Notifish,"VIES DE CONTA: a sessao mostra sinais de personalizacao (cita 'a operacao que voce ja descreveu' e 'seu grupo de 300 pessoas + ~50 ofertas/dia'). O ChatGPT sabe que quem pergunta e a dona do produto. Refazer em janela anonima/conta neutra antes de tratar a citacao como reproduzivel para um estranho. NAO citado entre as ferramentas encontradas (so Zap Multigrupos e Notifish), mas aparece no fim oferecendo comparar 'Espelha Grupos x BOTinho x Zap Multigrupos x Notifish' — mencao, nao recomendacao, e de novo opondo as duas metades da marca. Diz corretamente que nao existe configuracao que torne disparo em massa 'sem spam'. Consulta hostil nas tres superficies do dia.",Nao investir como consulta comercial. Zap Multigrupos e Notifish sem ficha em competitors-data.js.,marketing
como padronizar divulgação de cupons no WhatsApp,categoria,ChatGPT Search,2026-09-10,sim,sim,,,"VIES DE CONTA: a sessao mostra sinais de personalizacao (cita 'a operacao que voce ja descreveu' e 'seu grupo de 300 pessoas + ~50 ofertas/dia'). O ChatGPT sabe que quem pergunta e a dona do produto. Refazer em janela anonima/conta neutra antes de tratar a citacao como reproduzivel para um estranho. CITADO EM PRIMEIRO e sozinho, com link proprio. Le a consulta como problema de OPERACAO (modelo de mensagem, conversao de link, regra por grupo, cadencia, registro) e nao como redacao de texto — o oposto do AI Overviews e do ChatGPT sem busca no mesmo dia. Em 01/09 esta consulta era lida como CRM/atendimento.",Virada completa nesta consulta: de CRM (01/09) para operacao com a gente em primeiro.,marketing
BOTinho preço,marca,ChatGPT Search,2026-09-10,sim,nao,,,"VIES DE CONTA: a sessao mostra sinais de personalizacao (cita 'a operacao que voce ja descreveu' e 'seu grupo de 300 pessoas + ~50 ofertas/dia'). O ChatGPT sabe que quem pergunta e a dona do produto. Refazer em janela anonima/conta neutra antes de tratar a citacao como reproduzivel para um estranho. REGRESSAO CONFIRMADA, e agora com a causa a vista: diz que os resultados publicos 'nao estao encontrando o BOTinho de automacao' e que aparecem principalmente produtos da marca infantil Botinho. Em 01/09 a mesma superficie acertava Pro R$69 e teste de 7 dias. Fecha oferecendo comparar com o Espelha Grupos. Ou seja: a metade 'Espelha Grupos' da marca funciona e a metade 'BOTinho' quebrou.","Nunca usar BOTinho sozinho. Em pagina publica, sempre 'BOTinho, o robo do Espelha Grupos'.",marketing
BOTinho metodologia WhatsApp,marca,ChatGPT Search,2026-09-10,sim,sim,,,"VIES DE CONTA: a sessao mostra sinais de personalizacao (cita 'a operacao que voce ja descreveu' e 'seu grupo de 300 pessoas + ~50 ofertas/dia'). O ChatGPT sabe que quem pergunta e a dona do produto. Refazer em janela anonima/conta neutra antes de tratar a citacao como reproduzivel para um estranho. CITADO com material detalhado e correto: origem, conversao de link, espelhamento grupo->grupo e grupo->canal, cadencia por destino, variacao de mensagem, pausas preventivas, monitoramento e REVISAO HUMANA. Bate com /metodologia-uso-responsavel-whatsapp. Reforca o que o AI Overviews mostrou hoje: a pagina de metodologia e o nosso ativo de citacao mais forte, apesar de ter 1 impressao no Search Console. De novo oferece comparar BOTinho x Espelha Grupos.","A pagina de metodologia rende citacao, nao busca. Manter e expandir.",marketing
espelha grupos whatsapp o que é,marca,ChatGPT Search,2026-09-10,sim,sim,,,"VIES DE CONTA: a sessao mostra sinais de personalizacao (cita 'a operacao que voce ja descreveu' e 'seu grupo de 300 pessoas + ~50 ofertas/dia'). O ChatGPT sabe que quem pergunta e a dona do produto. Refazer em janela anonima/conta neutra antes de tratar a citacao como reproduzivel para um estranho. MELHOR RESPOSTA DO DIA em qualquer superficie: define o produto corretamente, com exemplo pratico, as 4 lojas certas, e a diferenca entre Basic e Pro (automacoes de oferta da Shopee e controles de cadencia). Contraste direto com o mesmo ChatGPT SEM busca, que leu 'espelha grupos' como espelhar a tela do celular. A entidade 'Espelha Grupos' existe — desde que haja busca.",Confirmar em conta neutra: e a linha que sustenta a hipotese de que a IA alimenta a busca por marca (home saltou para CTR 24%).,marketing
